season,e024_gate,gw,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,du,dpts,enter_u,left_u,enter_pts,left_pts,enter_mins,left_mins,enter_mu_delta,both60,both_play,model_pref_enter,actual_pref_enter,tie_pts
2022-23,FAIL,1,446,Kulusevski,MID,428,Son,MID,-0.6996,8.0,4.9052,5.6048,13.0,5.0,85.0,90.0,2.0776,1,1,0,1,0
2022-23,FAIL,1,446,Kulusevski,MID,13,Saka,MID,1.0896,7.0,4.9052,3.8156,13.0,6.0,85.0,90.0,2.0776,1,1,1,1,0
2022-23,FAIL,1,446,Kulusevski,MID,306,Cancelo,DEF,2.1452,6.0,4.9052,2.76,13.0,7.0,85.0,90.0,2.0776,1,1,1,1,0
2022-23,FAIL,1,446,Kulusevski,MID,345,Martial,FWD,2.1576,13.0,4.9052,2.7476,13.0,0.0,85.0,0.0,2.0776,0,0,1,1,0
2022-23,FAIL,1,255,Vardy,FWD,356,Wilson,FWD,0.7816,-1.0,4.2408,3.4592,5.0,6.0,90.0,89.0,1.3988,1,1,1,0,0
2022-23,FAIL,1,255,Vardy,FWD,428,Son,MID,-1.364,0.0,4.2408,5.6048,5.0,5.0,90.0,90.0,1.3988,1,1,0,0,1
2022-23,FAIL,1,255,Vardy,FWD,13,Saka,MID,0.4252,-1.0,4.2408,3.8156,5.0,6.0,90.0,90.0,1.3988,1,1,1,0,0
2022-23,FAIL,1,255,Vardy,FWD,306,Cancelo,DEF,1.4808,-2.0,4.2408,2.76,5.0,7.0,90.0,90.0,1.3988,1,1,1,0,0
2022-23,FAIL,1,255,Vardy,FWD,345,Martial,FWD,1.4932,5.0,4.2408,2.7476,5.0,0.0,90.0,0.0,1.3988,0,0,1,1,0
2022-23,FAIL,2,285,Alexander-Arnold,DEF,475,Coady,DEF,0.6448,1.0,3.5096,2.8648,3.0,2.0,90.0,80.0,0.7988,1,1,1,1,0
2022-23,FAIL,2,285,Alexander-Arnold,DEF,454,Richarlison,FWD,0.08,2.0,3.5096,3.4296,3.0,1.0,90.0,33.0,0.7988,0,1,1,1,0
2022-23,FAIL,2,303,Mahrez,MID,475,Coady,DEF,2.708,1.0,5.5728,2.8648,3.0,2.0,90.0,80.0,2.604,1,1,1,1,0
2022-23,FAIL,2,303,Mahrez,MID,454,Richarlison,FWD,2.1432,2.0,5.5728,3.4296,3.0,1.0,90.0,33.0,2.604,0,1,1,1,0
2022-23,FAIL,3,255,Vardy,FWD,585,Dennis,FWD,0.4048,2.0,4.028,3.6232,2.0,0.0,64.0,0.0,1.25,0,0,1,1,0
2022-23,FAIL,3,255,Vardy,FWD,283,Salah,MID,-0.5352,-6.0,4.028,4.5632,2.0,8.0,64.0,90.0,1.25,1,1,0,0,0
2022-23,FAIL,3,255,Vardy,FWD,465,Bowen,MID,-0.2764,0.0,4.028,4.3044,2.0,2.0,64.0,90.0,1.25,1,1,0,0,1
2022-23,FAIL,3,255,Vardy,FWD,110,Maupay,FWD,0.6684,2.0,4.028,3.3596,2.0,0.0,64.0,0.0,1.25,0,0,1,1,0
2022-23,FAIL,3,261,Maddison,MID,585,Dennis,FWD,0.6184,7.0,4.2416,3.6232,7.0,0.0,90.0,0.0,1.4832,0,0,1,1,0
2022-23,FAIL,3,261,Maddison,MID,283,Salah,MID,-0.3216,-1.0,4.2416,4.5632,7.0,8.0,90.0,90.0,1.4832,1,1,0,0,0
2022-23,FAIL,3,261,Maddison,MID,465,Bowen,MID,-0.0628,5.0,4.2416,4.3044,7.0,2.0,90.0,90.0,1.4832,1,1,0,1,0
2022-23,FAIL,3,261,Maddison,MID,110,Maupay,FWD,0.882,7.0,4.2416,3.3596,7.0,0.0,90.0,0.0,1.4832,0,0,1,1,0
2022-23,FAIL,3,446,Kulusevski,MID,585,Dennis,FWD,0.744,3.0,4.3672,3.6232,3.0,0.0,85.0,0.0,1.6212,0,0,1,1,0
2022-23,FAIL,3,446,Kulusevski,MID,283,Salah,MID,-0.196,-5.0,4.3672,4.5632,3.0,8.0,85.0,90.0,1.6212,1,1,0,0,0
2022-23,FAIL,3,446,Kulusevski,MID,465,Bowen,MID,0.0628,1.0,4.3672,4.3044,3.0,2.0,85.0,90.0,1.6212,1,1,1,1,0
2022-23,FAIL,3,446,Kulusevski,MID,110,Maupay,FWD,1.0076,3.0,4.3672,3.3596,3.0,0.0,85.0,0.0,1.6212,0,0,1,1,0
2022-23,FAIL,3,303,Mahrez,MID,585,Dennis,FWD,0.9816,0.0,4.6048,3.6232,0.0,0.0,0.0,0.0,1.944,0,0,1,0,1
